S No,Player Name,Player_Type,Player_Speciality,Player Image,Total Impact,Impact/Match,Matches,Runs,Wickets,Batting Impact,Batting Impact/Innings,Batted Innings,Runs,Impact Runs,Bowling Impact,Bowling Impact per Match,Bowled Innings,Wickets,Impact Wickets
46,Marco Jansen,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/337100/337189.1.png",421.8,30.1,14,75,16,27.6,3.4,8,75,56.6,394.1,28.1,14,16,18.2
28,Marcus Stoinis,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/321500/321596.2.png",215.3,16.5,13,160,1,198.3,18,11,160,180.2,16.9,1.8,9,1,1.7
54,Matheesha Pathirana,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/355400/355402.1.png",251.2,20.9,12,0,13,#N/A,#N/A,#N/A,#N/A,#N/A,251.2,20.9,12,13,13.2
109,Matthew Breetzke,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/388400/388422.5.png",-2.4,-2.4,1,14,,-2.4,-2.4,1,14,7.3,#N/A,#N/A,#N/A,#N/A,#N/A
228,Mayank Agarwal,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/391200/391289.2.png",68.9,17.2,4,95,,68.9,17.2,4,95,89.6,#N/A,#N/A,#N/A,#N/A,#N/A
228,Mayank Markande,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
79,Mayank Yadav,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/373900/373904.1.png",50,25,2,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,50,25,2,2,3.1
40,Mitchell Marsh,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/385700/385798.1.png",502.3,38.6,13,627,,502.3,38.6,13,627,623.4,#N/A,#N/A,#N/A,#N/A,#N/A
228,Mitchell Owen,Overseas,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393100/393175.2.png",-4.6,-4.6,1,0,,-4.6,-4.6,1,0,-1.8,#N/A,#N/A,#N/A,#N/A,#N/A
81,Mitchell Santner,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383180.1.png",254.7,19.5,13,40,10,-0.4,-0.1,8,40,28.4,255.1,19.6,13,10,10.8
29,Mitchell Starc,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390900/390978.5.png",312.5,28.4,11,6,14,-5.6,-1,6,6,-3.7,318,31.8,10,14,17.5
132,Moeen Ali,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383142.1.png",150,25,6,5,6,-14.9,-7.5,2,5,-2.2,164.9,32.9,5,6,9.5
57,Mohammed Shami,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390300/390351.5.png",116.9,12.9,9,10,6,11.5,2.8,4,10,9,105.3,11.7,9,6,7.5
99,Mohammed Siraj,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322600/322611.1.png",488.9,32.5,15,3,16,2,2,1,3,3,486.9,32.4,15,16,20.6
210,Mohit Rathee,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,Mohit Sharma,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316700/316702.2.png",85.5,10.6,8,1,2,-0.9,-0.5,2,1,-1.3,86.3,10.7,8,2,2.8
66,Mohsin Khan,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
90,MS Dhoni,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319900/319946.3.png",101.8,7.2,14,196,,101.8,7.8,13,196,167.1,#N/A,#N/A,#N/A,#N/A,#N/A
228,Mujeeb Ur Rahman,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383240.1.png",8.1,8.1,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,8.1,8.1,1,1,1.3
120,Mukesh Choudhary,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398614.5.png",12.2,6.1,2,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,12.2,6.1,2,1,1.5
77,Mukesh Kumar,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/373900/373907.1.png",240.3,20,12,0,12,#N/A,#N/A,#N/A,#N/A,#N/A,240.3,20,12,12,13
197,Musheer Khan,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/392100/392178.2.png",-3.4,-3.4,1,0,1,-3.1,-3.1,1,0,-2.3,-0.3,-0.3,1,1,0.6
228,Mustafizur Rahman,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/319700/319734.3.png",147.4,49.1,3,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,147.4,49.1,3,4,6
122,Naman Dhir,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381384.1.png",285.5,17.8,16,252,,261.1,21.7,12,252,276.8,#N/A,#N/A,#N/A,#N/A,#N/A
119,Nathan Ellis,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/329700/329711.2.png",10.4,10.4,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,10.4,10.4,1,1,1
69,Nehal Wadhera,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381388.1.png",273.8,17.1,16,369,,274.1,18.2,15,369,353.9,#N/A,#N/A,#N/A,#N/A,#N/A
12,Nicholas Pooran,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/320100/320109.2.png",557.8,39.8,14,524,,557.8,39.8,14,524,566.5,#N/A,#N/A,#N/A,#N/A,#N/A
190,Nishant Sindhu,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,Nitish Kumar Reddy,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390600/390655.2.png",112.3,8.6,13,182,2,62.1,5.6,11,182,141.5,50.1,16.7,3,2,2
95,Nitish Rana,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/323000/323054.1.png",229.1,20.8,11,217,,221.6,20.1,11,217,231.4,#N/A,#N/A,#N/A,#N/A,#N/A
86,Noor Ahmad,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383239.1.png",568.6,40.6,14,7,24,-3.5,-0.6,6,7,-2.6,572,40.8,14,24,29.6
52,Nuwan Thushara,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381395.7.png",63.8,63.8,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,63.8,63.8,1,1,1.2
10,Pat Cummins,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390900/390954.5.png",536.8,38.3,14,97,16,113.2,12.5,9,97,110.5,423.6,30.2,14,16,20.9
24,Phil Salt,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383141.1.png",454.3,34.9,13,403,,454.3,34.9,13,403,442.5,#N/A,#N/A,#N/A,#N/A,#N/A
80,Prabhsimran Singh,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358040.1.png",494.1,29,17,549,,494.1,29,17,549,552.3,#N/A,#N/A,#N/A,#N/A,#N/A
124,Prasidh Krishna,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/389500/389549.5.png",619.9,41.3,15,0,25,#N/A,#N/A,#N/A,#N/A,#N/A,619.9,41.3,15,25,27.4
228,Praveen Dubey,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398622.4.png",28.5,28.5,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,28.5,28.5,1,1,1.4
149,Pravin Dubey,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
201,Prince Yadav,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398611.5.png",127,21.1,6,5,3,2.4,1.2,2,5,5,124.6,20.7,6,3,4.1
217,Priyansh Arya,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/391700/391706.2.png",573.3,33.7,17,475,,573.3,33.7,17,475,542.1,#N/A,#N/A,#N/A,#N/A,#N/A
211,Pyla Avinash,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
103,Quinton de Kock,Overseas,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316668.1.png",119.5,14.9,8,152,,119.5,14.9,8,152,149.9,#N/A,#N/A,#N/A,#N/A,#N/A
59,Rachin Ravindra,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383182.1.png",140,17.5,8,191,,140,17.5,8,191,189.2,#N/A,#N/A,#N/A,#N/A,#N/A
139,Rahmanullah Gurbaz,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383237.1.png",54.6,10.9,5,74,,54.6,10.9,5,74,68.7,#N/A,#N/A,#N/A,#N/A,#N/A
131,Rahul Chahar,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/331100/331166.1.png",0.9,0.9,1,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41,Rahul Tewatia,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322269.1.png",78.1,5.2,15,99,,78.1,6.5,12,99,88.5,#N/A,#N/A,#N/A,#N/A,#N/A
137,Rahul Tripathi,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/356800/356821.5.png",24.1,4.8,5,55,,24.1,4.8,5,55,45.9,#N/A,#N/A,#N/A,#N/A,#N/A
143,Raj Bawa,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/339100/339156.2.png",6.4,2.1,3,8,,6.4,6.4,1,8,7.6,#N/A,#N/A,#N/A,#N/A,#N/A
38,Rajat Patidar,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390500/390563.2.png",201.8,13.4,15,312,,201.8,14.4,14,312,279.8,#N/A,#N/A,#N/A,#N/A,#N/A
145,Rajvardhan Hangargekar,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
185,Ramakrishna Ghosh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
179,Ramandeep Singh,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/380600/380670.5.png",35.9,3.2,11,47,,35.9,5.1,7,47,43.8,#N/A,#N/A,#N/A,#N/A,#N/A
1,Rashid Khan,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383200/383228.1.png",322.2,21.4,15,40,9,33.3,33.3,8,40,40,288.9,19.2,15,9,10.2
178,Rasikh Salam,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/341000/341040.1.png",12.1,6,2,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,12.1,6,2,1,0.9
9,Ravi Bishnoi,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/337100/337188.1.png",186.3,16.9,11,13,9,4,1.3,3,13,8.9,182.2,16.5,11,9,12.2
53,Ravichandran Ashwin,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393300/393315.2.png",177.1,19.6,9,33,7,6.9,1.7,4,33,29.7,170.2,18.9,9,7,10.3
11,Ravindra Jadeja,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316600.2.png",437.3,31.2,14,301,10,174.4,12.4,14,301,275.9,262.9,18.7,14,10,12
110,Reece Topley,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383150.1.png",-5.5,-5.5,1,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Richard Gleeson,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/324200/324238.1.png",27.9,27.9,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,27.9,27.9,1,1,1.3
61,Rinku Singh,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/341000/341043.1.png",184.7,14.2,13,206,,184.7,16.7,11,206,206.7,#N/A,#N/A,#N/A,#N/A,#N/A
2,Rishabh Pant,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/323000/323036.1.png",123.5,8.8,14,269,,123.5,9.5,13,269,227.5,#N/A,#N/A,#N/A,#N/A,#N/A
30,Riyan Parag,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/370900/370935.1.png",482.7,34.4,14,393,3,362.7,25.9,14,393,429.6,119.9,13.3,9,3,3.9
218,Robin Minz,Indian,Batter,https://www.espncricinfo.com/cricketers/robin-minz-1350762,-19.8,-9.9,2,6,,-19.8,-9.9,2,6,-5.3,#N/A,#N/A,#N/A,#N/A,#N/A
35,Rohit Sharma,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/385800/385819.2.png",329.1,21.9,15,418,,329.1,21.9,15,418,415.8,#N/A,#N/A,#N/A,#N/A,#N/A
130,Romario Shepherd,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322037.1.png",276.7,34.5,8,70,6,120,40,3,70,91.3,156.6,22.3,7,6,8
93,Rovman Powell,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322100/322172.1.png",-0.1,-0.1,2,5,,-0.1,-0.1,1,5,2.8,#N/A,#N/A,#N/A,#N/A,#N/A
3,Ruturaj Gaikwad,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322200/322236.1.png",142.4,28.4,5,122,,142.4,28.4,5,122,135.3,#N/A,#N/A,#N/A,#N/A,#N/A
82,Ryan Rickelton,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/366300/366321.1.png",359.8,25.7,14,388,,359.8,25.7,14,388,409.9,#N/A,#N/A,#N/A,#N/A,#N/A
158,Sachin Baby,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/281000/281081.3.png",0,0,1,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
128,Sai Kishore,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/362500/362558.6.png",439.8,29.3,15,5,19,1.9,0.6,3,5,4.4,437.8,29.1,15,19,22.3
31,Sai Sudharsan,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390600/390648.2.png",641.2,42.7,15,759,,641.2,42.7,15,759,756.5,#N/A,#N/A,#N/A,#N/A,#N/A
47,Sam Curran,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383153.1.png",67.4,13.4,5,114,1,46.8,9.3,5,114,115.5,20.5,4.1,5,1,1.8
164,Sameer Rizvi,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/397400/397425.4.png",126.4,25.2,5,121,,126.4,31.6,4,121,127.4,#N/A,#N/A,#N/A,#N/A,#N/A
96,Sandeep Sharma,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/323000/323055.1.png",278.9,27.8,10,6,9,4,4,1,6,6,274.9,27.4,10,9,11.4
21,Sanju Samson,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322700/322701.1.png",209.5,23.2,9,285,,209.5,23.2,9,285,276.3,#N/A,#N/A,#N/A,#N/A,#N/A
205,Satyanarayana Raju,Indian,Not Specified,https://www.espncricinfo.com/cricketers/satyanarayana-raju-1392201,-5.6,-2.8,2,1,1,0.5,0.5,1,1,0.7,-6.1,-3.1,2,1,0.6
228,Sediqullah Atal,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390600/390614.2.png",15.3,15.3,1,22,,15.3,15.3,1,22,20,#N/A,#N/A,#N/A,#N/A,#N/A
129,Shahbaz Ahmed,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/340300/340313.1.png",15.9,5.3,3,9,1,-3,-3,1,9,3,18.9,6.3,3,1,0.8
121,Shahrukh Khan,Indian,Batter,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
220,Shaik Rasheed,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/345000/345086.1.png",27.9,5.5,5,71,,27.9,5.5,5,71,53.8,#N/A,#N/A,#N/A,#N/A,#N/A
160,Shamar Joseph,Overseas,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Shardul Thakur,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322600/322696.1.png",316.5,31.6,10,18,13,14.2,2.8,5,18,14.7,302.3,30.2,10,13,18
88,Shashank Singh,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/380600/380696.1.png",278.3,16.3,17,350,,274.1,19.5,14,350,332.1,#N/A,#N/A,#N/A,#N/A,#N/A
163,Sherfane Rutherford,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322100/322173.1.png",199.4,15.3,13,291,,199.4,18.1,11,291,250.2,#N/A,#N/A,#N/A,#N/A,#N/A
73,Shimron Hetmyer,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/320100/320116.1.png",146.5,10.4,14,239,,146.5,11.2,13,239,215.6,#N/A,#N/A,#N/A,#N/A,#N/A
32,Shivam Dube,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383700/383773.1.png",246.8,17.6,14,357,,256.7,18.3,14,357,339.5,#N/A,#N/A,#N/A,#N/A,#N/A
166,Shreyas Gopal,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,Shreyas Iyer,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/323000/323035.1.png",590.8,34.7,17,604,,590.8,34.7,17,604,630.7,#N/A,#N/A,#N/A,#N/A,#N/A
167,Shubham Dubey,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398200/398224.5.png",48.6,6,8,106,,48.6,6,8,106,88.3,#N/A,#N/A,#N/A,#N/A,#N/A
20,Shubman Gill,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398500/398534.2.png",602.9,40.1,15,650,,602.9,40.1,15,650,666.2,#N/A,#N/A,#N/A,#N/A,#N/A
165,Simarjeet Singh,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399249.2.png",-13.3,-3.4,4,3,2,-3.2,-1.1,3,3,-3.3,-10.1,-2.6,4,2,1.8
175,Spencer Johnson,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/390900/390920.2.png",-5.9,-1.5,4,2,1,-0.5,-0.3,2,2,-0.3,-5.4,-1.4,4,1,0.4
39,Sunil Narine,Overseas,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/320100/320119.1.png",626.5,52.2,12,246,12,254.8,21.2,12,246,258.4,371.6,30.9,12,12,15.1
14,Suryakumar Yadav,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/331100/331163.1.png",653.3,40.8,16,717,,653.3,40.8,16,717,733.6,#N/A,#N/A,#N/A,#N/A,#N/A
151,Suryansh Shedge,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393100/393181.2.png",-7.8,-1.6,5,7,,0.2,0,3,7,4.7,#N/A,#N/A,#N/A,#N/A,#N/A
180,Suyash Sharma,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358041.1.png",302.1,21.5,14,0,8,#N/A,#N/A,#N/A,#N/A,#N/A,302.1,21.5,14,8,11
176,Swapnil Singh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
226,Swastik Chikara,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
136,T Natarajan,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322600/322699.1.png",-19.4,-9.7,2,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,Tilak Varma,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/381300/381391.1.png",195.2,12.2,16,343,,195.2,15,13,343,311.6,#N/A,#N/A,#N/A,#N/A,#N/A
138,Tim David,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/340300/340305.1.png",223.2,18.6,12,187,,223.2,24.8,9,187,216.9,#N/A,#N/A,#N/A,#N/A,#N/A
6,Travis Head,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/321500/321584.2.png",315.8,24.2,13,374,,315.8,26.3,12,374,376.1,#N/A,#N/A,#N/A,#N/A,#N/A
55,Trent Boult,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/383100/383185.1.png",487.3,30.4,16,2,22,-1.1,-0.6,2,2,-0.3,488.4,30.5,16,22,28
189,Tripurana Vijay,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42,Tristan Stubbs,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/348500/348577.1.png",260.7,18.6,14,300,,284.2,21.8,13,300,312.2,#N/A,#N/A,#N/A,#N/A,#N/A
48,Tushar Deshpande,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398600/398605.png",225.6,22.5,10,7,9,3.7,0.9,4,7,4.2,221.9,22.1,10,9,10.9
177,Umran Malik,Indian,Bowler,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
228,Urvil Patel,Indian,Not Specified,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/391800/391896.2.png",97.7,32.5,3,68,,97.7,32.5,3,68,83.3,#N/A,#N/A,#N/A,#N/A,#N/A
92,Vaibhav Arora,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/389500/389547.5.png",386.8,32.2,12,0,17,-2.5,-1.3,2,0,-3.6,389.3,32.4,12,17,21.9
169,Vaibhav Suryavanshi,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/398200/398221.5.png",285.1,40.7,7,252,,285.1,40.7,7,252,278.2,#N/A,#N/A,#N/A,#N/A,#N/A
192,Vansh Bedi,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,Varun Chakravarthy,Indian,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/331100/331167.1.png",457.6,35.2,13,1,17,0.4,0.4,1,1,0.6,457.1,35.1,13,17,20.9
37,Venkatesh Iyer,Indian,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/337100/337187.1.png",98.5,8.9,11,142,,98.5,14,7,142,130.5,#N/A,#N/A,#N/A,#N/A,#N/A
183,Vignesh Puthur,Indian,Bowler,https://www.espncricinfo.com/cricketers/vignesh-puthur-1460388,121.6,24.3,5,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,121.6,24.3,5,6,7.5
